iter	Passed	Remaining
0	147	147691
1	148	74142
2	149	49576
3	149	37280
4	150	29903
5	150	24979
6	151	21478
7	152	18891
8	153	16872
9	153	15230
10	154	13883
11	155	12762
12	155	11809
13	156	10997
14	156	10293
15	157	9675
16	157	9130
17	158	8647
18	159	8214
19	159	7821
20	160	7465
21	160	7141
22	161	6846
23	161	6575
24	162	6326
25	162	6097
26	163	5885
27	163	5689
28	164	5508
29	165	5360
30	167	5222
31	167	5075
32	168	4933
33	168	4799
34	169	4672
35	169	4552
36	170	4438
37	171	4330
38	171	4228
39	172	4132
40	172	4041
41	173	3954
42	173	3869
43	174	3791
44	175	3714
45	175	3640
46	176	3569
47	176	3501
48	177	3437
49	177	3374
50	178	3317
51	178	3261
52	179	3209
53	180	3161
54	181	3111
55	181	3062
56	182	3014
57	182	2968
58	183	2924
59	183	2882
60	184	2841
61	185	2801
62	185	2762
63	186	2724
64	186	2687
65	187	2652
66	187	2617
67	188	2583
68	188	2549
69	189	2517
70	189	2485
71	190	2455
72	190	2425
73	191	2396
74	192	2368
75	192	2341
76	193	2314
77	193	2290
78	194	2264
79	194	2241
80	195	2218
81	196	2195
82	196	2170
83	197	2148
84	197	2126
85	198	2105
86	198	2085
87	199	2065
88	199	2046
89	200	2027
90	201	2008
91	201	1989
92	202	1971
93	202	1953
94	203	1935
95	203	1917
96	204	1900
97	204	1883
98	205	1866
99	205	1850
100	206	1835
101	206	1820
102	207	1804
103	207	1791
104	208	1777
105	209	1764
106	209	1751
107	210	1738
108	211	1725
109	211	1712
110	212	1699
111	212	1687
112	213	1675
113	214	1663
114	214	1651
115	215	1640
116	215	1627
117	216	1615
118	216	1603
119	217	1592
120	217	1581
121	218	1569
122	218	1558
123	219	1547
124	219	1536
125	220	1526
126	220	1515
127	221	1506
128	221	1498
129	222	1490
130	223	1481
131	223	1472
132	224	1463
133	225	1454
134	225	1445
135	226	1436
136	226	1427
137	227	1419
138	227	1411
139	228	1403
140	229	1395
141	229	1386
142	229	1378
143	230	1370
144	231	1362
145	231	1354
146	232	1346
147	232	1339
148	233	1331
149	233	1323
150	234	1316
151	234	1309
152	235	1302
153	235	1294
154	236	1287
155	236	1281
156	238	1280
157	239	1274
158	239	1269
159	240	1263
160	241	1257
161	241	1251
162	242	1245
163	243	1239
164	243	1232
165	244	1226
166	244	1220
167	245	1214
168	245	1208
169	246	1202
170	246	1196
171	247	1190
172	247	1185
173	248	1179
174	249	1174
175	249	1168
176	250	1162
177	250	1157
178	251	1151
179	251	1147
180	252	1142
181	253	1137
182	253	1132
183	254	1129
184	255	1124
185	255	1119
186	256	1115
187	257	1110
188	257	1105
189	258	1100
190	258	1095
191	259	1090
192	259	1085
193	260	1081
194	260	1076
195	261	1071
196	261	1066
197	262	1062
198	262	1057
199	263	1053
200	263	1048
201	264	1043
202	264	1039
203	265	1035
204	265	1030
205	266	1027
206	267	1026
207	269	1025
208	269	1021
209	270	1017
210	271	1014
211	271	1010
212	272	1006
213	272	1002
214	273	998
215	274	994
216	274	990
217	275	986
218	275	982
219	276	978
220	276	975
221	277	971
222	277	967
223	278	963
224	278	959
225	279	956
226	279	952
227	280	948
228	280	945
229	281	942
230	282	939
231	283	937
232	283	934
233	284	931
234	285	928
235	286	926
236	286	923
237	287	919
238	287	916
239	288	913
240	288	909
241	289	906
242	289	903
243	290	899
244	291	896
245	291	893
246	292	890
247	292	886
248	293	883
249	293	880
250	294	877
251	294	874
252	295	872
253	296	869
254	296	867
255	298	866
256	298	863
257	299	860
258	299	857
259	300	855
260	301	852
261	301	850
262	302	847
263	302	844
264	303	841
265	303	838
266	304	836
267	305	833
268	305	830
269	306	827
270	306	824
271	307	821
272	307	818
273	308	816
274	308	813
275	309	810
276	309	808
277	310	805
278	310	803
279	311	800
280	312	798
281	312	795
282	313	793
283	313	790
284	314	788
285	314	785
286	315	783
287	315	780
288	316	778
289	316	775
290	317	773
291	318	771
292	318	768
293	319	766
294	319	763
295	320	761
296	320	758
297	321	756
298	321	753
299	322	751
300	322	749
301	323	746
302	323	744
303	324	742
304	324	740
305	325	738
306	326	736
307	326	734
308	327	732
309	327	729
310	328	727
311	329	725
312	329	723
313	330	721
314	330	719
315	331	716
316	331	714
317	332	712
318	332	710
319	333	708
320	333	706
321	334	704
322	334	702
323	335	699
324	335	697
325	336	695
326	336	693
327	337	691
328	338	689
329	338	687
330	339	685
331	339	683
332	340	681
333	341	680
334	341	678
335	342	676
336	342	674
337	343	672
338	343	670
339	344	669
340	345	667
341	346	665
342	346	664
343	347	662
344	347	660
345	348	658
346	348	656
347	349	654
348	349	652
349	350	650
350	350	648
351	351	646
352	351	644
353	352	643
354	353	642
355	353	640
356	354	638
357	355	637
358	355	635
359	356	633
360	357	632
361	357	630
362	358	629
363	359	627
364	360	626
365	360	624
366	361	623
367	361	621
368	362	619
369	363	618
370	363	616
371	364	615
372	365	614
373	365	612
374	366	610
375	367	609
376	367	607
377	368	606
378	369	604
379	370	603
380	370	602
381	371	600
382	372	599
383	373	598
384	373	596
385	374	595
386	375	594
387	376	593
388	376	591
389	377	590
390	378	588
391	378	587
392	379	585
393	380	584
394	380	583
395	381	581
396	382	580
397	384	582
398	385	581
399	386	579
400	386	578
401	387	576
402	388	575
403	389	574
404	389	572
405	390	571
406	391	569
407	391	568
408	392	567
409	393	565
410	393	564
411	394	562
412	395	561
413	395	560
414	396	558
415	397	557
416	397	556
417	398	554
418	399	553
419	400	552
420	400	551
421	401	549
422	402	548
423	402	547
424	403	545
425	404	544
426	404	543
427	405	541
428	406	540
429	406	539
430	407	537
431	408	536
432	408	535
433	409	533
434	409	532
435	410	531
436	411	529
437	412	529
